Indicator Name,Value
"Outward Equity Positions (Net), Derived",1507262569.8324
"Outward Equity Positions (Net), Derived",1573184357.5419
"Outward Equity Positions (Net), Derived",1650837988.82682
"Outward Equity Positions (Net), Derived",1644692737.43017
"Outward Equity Positions (Net), Derived",1764804469.27374
"Outward Equity Positions (Net), Derived",1971117318.43575
"Outward Equity Positions (Net), Derived",1994301675.97765
"Outward Equity Positions (Net), Derived",2023798882.68156
"Outward Equity Positions (Net), Derived",2130391061.45251
"Outward Equity Positions (Net), Derived",2169329608.93855
"Outward Equity Positions (Net), Derived",2189944134.07821
"Outward Equity Positions (Net), Derived",2242960893.85475
"Inward Direct Investment Positions, Derived",89774308599.9998
"Inward Direct Investment Positions, Derived",97313773900
"Inward Direct Investment Positions, Derived",101752964000
"Inward Direct Investment Positions, Derived",109677024000
"Inward Direct Investment Positions, Derived",110404710000
"Inward Direct Investment Positions, Derived",109386793200
"Inward Direct Investment Positions, Derived",80233030800.0002
"Inward Direct Investment Positions, Derived",89737977600.0002
"Inward Direct Investment Positions, Derived",104611260000
"Inward Direct Investment Positions, Derived",93111959200.0001
"Inward Direct Investment Positions, Derived",100986585800
"Inward Direct Investment Positions, Derived",127562834600
Inward Equity Positions (Net),33365000000
Inward Equity Positions (Net),30407000000
Inward Equity Positions (Net),44301000000
Inward Equity Positions (Net),49107000000
Inward Equity Positions (Net),46618000000
Inward Equity Positions (Net),52709000000
Inward Equity Positions (Net),63140000000
Inward Equity Positions (Net),64739000000
Inward Equity Positions (Net),71353000000
Inward Equity Positions (Net),70686000000
Inward Equity Positions (Net),86686000000
Inward Equity Positions (Net),95528000000
Outward Debt Instruments Liabilities Positions (Gross),4824000000
Outward Debt Instruments Liabilities Positions (Gross),7616000000
Outward Debt Instruments Liabilities Positions (Gross),8909000000
Outward Debt Instruments Liabilities Positions (Gross),10206000000
Outward Debt Instruments Liabilities Positions (Gross),11458000000
Outward Debt Instruments Liabilities Positions (Gross),14412000000
Outward Debt Instruments Liabilities Positions (Gross),8437000000
Outward Debt Instruments Liabilities Positions (Gross),9547000000
Outward Debt Instruments Liabilities Positions (Gross),5309000000
Outward Debt Instruments Liabilities Positions (Gross),4461000000
Outward Debt Instruments Liabilities Positions (Gross),4928000000
Outward Debt Instruments Liabilities Positions (Gross),6266000000
"Outward Debt Instruments Positions (Net), Derived",21573135699.9999
"Outward Debt Instruments Positions (Net), Derived",24454210600
"Outward Debt Instruments Positions (Net), Derived",32071632400
"Outward Debt Instruments Positions (Net), Derived",42911260500
"Outward Debt Instruments Positions (Net), Derived",55754644499.9998
"Outward Debt Instruments Positions (Net), Derived",59646584400
"Outward Debt Instruments Positions (Net), Derived",57684523000.0002
"Outward Debt Instruments Positions (Net), Derived",61568229600.0001
"Outward Debt Instruments Positions (Net), Derived",62540400000.0001
"Outward Debt Instruments Positions (Net), Derived",60067814800.0001
"Outward Debt Instruments Positions (Net), Derived",55661268799.9999
"Outward Debt Instruments Positions (Net), Derived",57078751800.0002
Outward Debt Instruments Positions (Net),17820000000
Outward Debt Instruments Positions (Net),26048000000
Outward Debt Instruments Positions (Net),30528000000
Outward Debt Instruments Positions (Net),48202000000
Outward Debt Instruments Positions (Net),56849000000
Outward Debt Instruments Positions (Net),68032000000
Outward Debt Instruments Positions (Net),66308000000
Outward Debt Instruments Positions (Net),67741000000
Outward Debt Instruments Positions (Net),60650000000
Outward Debt Instruments Positions (Net),56900000000
Outward Debt Instruments Positions (Net),56902000000
Outward Debt Instruments Positions (Net),59682000000
Outward Direct Investment Positions,106212000000
Outward Direct Investment Positions,125421000000
Outward Direct Investment Positions,133000000000
Outward Direct Investment Positions,165106000000
Outward Direct Investment Positions,168300000000
Outward Direct Investment Positions,177420000000
Outward Direct Investment Positions,160061000000
Outward Direct Investment Positions,167791000000
Outward Direct Investment Positions,169749000000
Outward Direct Investment Positions,166269000000
Outward Direct Investment Positions,161200000000
Outward Direct Investment Positions,163466000000
"Outward Equity Positions (Net), Derived",66485403199.9998
"Outward Equity Positions (Net), Derived",87656891300
"Outward Equity Positions (Net), Derived",85231183200
"Outward Equity Positions (Net), Derived",93456669500
"Outward Equity Positions (Net), Derived",79325792999.9998
"Outward Equity Positions (Net), Derived",74591448600
"Outward Equity Positions (Net), Derived",78336393200.0002
"Outward Equity Positions (Net), Derived",82377518400.0002
"Outward Equity Positions (Net), Derived",92773980000.0002
"Outward Equity Positions (Net), Derived",94828464800.0001
"Outward Equity Positions (Net), Derived",99462780799.9998
"Outward Equity Positions (Net), Derived",94092253200.0003
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",155838300
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",125052300
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",26346540
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",21082000
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",27463970
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",19350500
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",29208400
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",33745250
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",593013000
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",539181810
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",484362630
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",506811280
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",464249030
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",581889000
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",636743120
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",736260000
"Inward Equity Positions (Net), Derived",3869451600
"Inward Equity Positions (Net), Derived",3808570860
"Inward Equity Positions (Net), Derived",4330309836.4674
"Inward Equity Positions (Net), Derived",4565931098.0904
"Inward Equity Positions (Net), Derived",6691393200
"Inward Equity Positions (Net), Derived",7319930310
"Inward Equity Positions (Net), Derived",7718774130
"Inward Equity Positions (Net), Derived",8224404430
"Inward Equity Positions (Net), Derived",9261714180
"Inward Equity Positions (Net), Derived",9983140500
"Inward Equity Positions (Net), Derived",10518281860
"Inward Equity Positions (Net), Derived",11203300290
Inward Equity Positions (Net),3985000000
Inward Equity Positions (Net),4337000000
Inward Equity Positions (Net),4870000000
Inward Equity Positions (Net),5803000000
Inward Equity Positions (Net),6255000000
Inward Equity Positions (Net),6727000000
Inward Equity Positions (Net),7723000000
Inward Equity Positions (Net),8494000000
Inward Equity Positions (Net),9221000000
Inward Equity Positions (Net),10300000000
"Outward Debt Instruments Liabilities Positions (Gross), Derived",341134080
"Outward Debt Instruments Liabilities Positions (Gross), Derived",683867160
"Outward Debt Instruments Liabilities Positions (Gross), Derived",591069896.8923
"Outward Debt Instruments Liabilities Positions (Gross), Derived",643942177.5438
"Outward Debt Instruments Liabilities Positions (Gross), Derived",655210410
"Outward Debt Instruments Liabilities Positions (Gross), Derived",764154540
"Outward Debt Instruments Liabilities Positions (Gross), Derived",1227073770
"Outward Debt Instruments Liabilities Positions (Gross), Derived",3577404580
"Outward Debt Instruments Liabilities Positions (Gross), Derived",3904201220
"Outward Debt Instruments Liabilities Positions (Gross), Derived",2146302500
"Outward Debt Instruments Liabilities Positions (Gross), Derived",730322340
"Outward Debt Instruments Liabilities Positions (Gross), Derived",3550000300
Outward Debt Instruments Liabilities Positions (Gross),408000000
Outward Debt Instruments Liabilities Positions (Gross),664000000
Outward Debt Instruments Liabilities Positions (Gross),556000000
Outward Debt Instruments Liabilities Positions (Gross),541000000
Outward Debt Instruments Liabilities Positions (Gross),642000000
Outward Debt Instruments Liabilities Positions (Gross),841000000
Outward Debt Instruments Liabilities Positions (Gross),1054000000
Outward Debt Instruments Liabilities Positions (Gross),606000000
Outward Debt Instruments Liabilities Positions (Gross),741000000
Outward Debt Instruments Liabilities Positions (Gross),641000000
Outward Debt Instruments Liabilities Positions (Gross),1012000000
"Outward Debt Instruments Positions (Net), Derived",3714587100
"Outward Debt Instruments Positions (Net), Derived",1780887360
"Outward Debt Instruments Positions (Net), Derived",105894200.5839
"Outward Debt Instruments Positions (Net), Derived",173507621.7942
"Outward Debt Instruments Positions (Net), Derived",-5516400
"Outward Debt Instruments Positions (Net), Derived",-372485880
"Outward Debt Instruments Positions (Net), Derived",-856589160
"Outward Debt Instruments Positions (Net), Derived",-3248525380
"Outward Debt Instruments Positions (Net), Derived",-3556764010
"Outward Debt Instruments Positions (Net), Derived",-1632197500
"Outward Debt Instruments Positions (Net), Derived",-225691060
"Outward Debt Instruments Positions (Net), Derived",-2320568810
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",601011780
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",567348930
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",656050620
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",3442690600
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",3715071610
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",1961156000
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",722458540
"Outward Direct Investment Liabilities Positions (Gross) with Fellow Enterprises, Derived",3545950870
"Outward Direct Investment Positions, Derived",8461364100.00001
"Outward Direct Investment Positions, Derived",5976421740
"Outward Direct Investment Positions, Derived",3380151365.55
"Outward Direct Investment Positions, Derived",3498022484.919
"Outward Direct Investment Positions, Derived",3427753050
"Outward Direct Investment Positions, Derived",2401854030
"Outward Direct Investment Positions, Derived",1888241280
"Outward Direct Investment Positions, Derived",-607583240
"Outward Direct Investment Positions, Derived",-286872560
"Outward Direct Investment Positions, Derived",1367130000
"Outward Direct Investment Positions, Derived",1924384200
"Outward Direct Investment Positions, Derived",-491330840
Outward Direct Investment Positions,10954000000
Outward Direct Investment Positions,11485000000
Outward Direct Investment Positions,12556000000
Outward Direct Investment Positions,14327000000
Outward Direct Investment Positions,15630000000
Outward Direct Investment Positions,10171000000
Outward Direct Investment Positions,6508000000
Outward Direct Investment Positions,7566000000
Outward Direct Investment Positions,7987000000
Outward Direct Investment Positions,6848000000
Outward Direct Investment Positions,6921000000
Outward Direct Investment Positions,4947000000
Inward Direct Investment Positions,-22000000
Inward Direct Investment Positions,-17000000
Inward Direct Investment Positions,-40000000
Inward Direct Investment Positions,-7000000
Inward Direct Investment Positions,-1000000
Inward Direct Investment Positions,-2000000
Inward Direct Investment Positions,-4000000
"Outward Direct Investment Positions, Derived",235587000
"Outward Direct Investment Positions, Derived",256809000
"Outward Direct Investment Positions, Derived",347110000
"Outward Direct Investment Positions, Derived",428994000
"Outward Direct Investment Positions, Derived",511836000
"Outward Direct Investment Positions, Derived",587373100
"Outward Direct Investment Positions, Derived",585052068.385145
"Outward Direct Investment Positions, Derived",605926068.385145
"Outward Direct Investment Positions, Derived",678620068.385145
"Outward Direct Investment Positions, Derived",668692068.385145
"Outward Direct Investment Positions, Derived",465333000
"Outward Direct Investment Positions, Derived",514525560.885145
Inward Direct Investment Positions,694000000
Inward Direct Investment Positions,1753000000
Inward Direct Investment Positions,443000000
Inward Direct Investment Positions,635000000
Inward Direct Investment Positions,643000000
Inward Direct Investment Positions,813000000
Inward Direct Investment Positions,794000000
Inward Direct Investment Positions,262000000
Inward Direct Investment Positions,687000000
Inward Direct Investment Positions,984000000
Inward Direct Investment Positions,1540000000
Inward Direct Investment Positions,1944000000
"Inward Direct Investment Positions, Derived",291150000
"Inward Direct Investment Positions, Derived",1253100000
"Inward Direct Investment Positions, Derived",1265853840.08546
"Outward Debt Instruments Assets Positions (Gross), Derived",11750000
"Outward Debt Instruments Assets Positions (Gross), Derived",10490000
"Outward Debt Instruments Assets Positions (Gross), Derived",5340000
